dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
german,GBM,HH,Rashomon,learning_rate,3,0.10860860677723204,0.03185719981905077,2.6666666666666665,V_m
german,GBM,HH,Rashomon,max_depth,3,0.20812145626063697,0.1781168772729537,2.0,V_m
german,GBM,HH,Rashomon,n_estimators,3,0.10458315768264519,0.14500366951763669,3.0,V_m
german,GBM,HH,Rashomon,subsample,3,0.0869119923441286,0.06565722128088075,2.3333333333333335,V_m
german,GBM,HH,Rashomon,learning_rate,3,0.32885460008731277,0.1335378925005001,1.3333333333333333,decomposition
german,GBM,HH,Rashomon,max_depth,3,0.24176141461564601,0.19919505812206909,2.0,decomposition
german,GBM,HH,Rashomon,n_estimators,3,0.053213148205009365,0.017481193430007504,3.6666666666666665,decomposition
german,GBM,HH,Rashomon,subsample,3,0.11051417758583032,0.033578086427294616,3.0,decomposition
german,LogReg,HH,Rashomon,C,3,0.9732781035208801,0.022829917353918535,1.0,V_m
german,LogReg,HH,Rashomon,l1_ratio,3,0.09515957981348926,0.03889482321368077,2.0,V_m
german,LogReg,HH,Rashomon,C,3,0.980995295650148,0.008035575440519992,1.0,decomposition
german,LogReg,HH,Rashomon,l1_ratio,3,0.08580528637877938,0.07987525394879955,2.0,decomposition
german,MLP,HH,Rashomon,activation,3,0.10339477545593233,0.09739097922734621,2.3333333333333335,V_m
german,MLP,HH,Rashomon,alpha,3,0.10010155568374902,0.09205631218109737,2.6666666666666665,V_m
german,MLP,HH,Rashomon,hidden_layer_sizes,3,0.08200389855518794,0.029908611956936195,2.6666666666666665,V_m
german,MLP,HH,Rashomon,learning_rate_init,3,0.14977483785134496,0.14521354965174663,2.3333333333333335,V_m
german,MLP,HH,Rashomon,activation,3,0.07354501527825287,0.009667668125084563,3.3333333333333335,decomposition
german,MLP,HH,Rashomon,alpha,3,0.06684500806583464,0.009881210377709204,3.6666666666666665,decomposition
german,MLP,HH,Rashomon,hidden_layer_sizes,3,0.15658845292777476,0.058504084987432044,1.6666666666666667,decomposition
german,MLP,HH,Rashomon,learning_rate_init,3,0.29010017219921896,0.19419020174001067,1.3333333333333333,decomposition
german,RF,HH,Rashomon,max_depth,3,0.09918453371720082,0.03594122700594383,3.0,V_m
german,RF,HH,Rashomon,max_features,3,0.24664175295125965,0.2512863893828787,2.6666666666666665,V_m
german,RF,HH,Rashomon,min_samples_leaf,3,0.11470182163341551,0.09494504318246809,4.0,V_m
german,RF,HH,Rashomon,min_samples_split,3,0.1451537616425788,0.14616644108594737,3.6666666666666665,V_m
german,RF,HH,Rashomon,n_estimators,3,0.19887649038164068,0.13575906705830895,1.6666666666666667,V_m
german,RF,HH,Rashomon,max_depth,3,0.12489480073573996,0.052356212231137365,2.6666666666666665,decomposition
german,RF,HH,Rashomon,max_features,3,0.20836892938464444,0.03361514160700417,1.6666666666666667,decomposition
german,RF,HH,Rashomon,min_samples_leaf,3,0.1719157617583117,0.14081543380135036,3.0,decomposition
german,RF,HH,Rashomon,min_samples_split,3,0.12304164120402368,0.04153173550917852,4.0,decomposition
german,RF,HH,Rashomon,n_estimators,3,0.08749948332757179,0.06615249665516326,3.6666666666666665,decomposition
german,kNN,HH,Rashomon,n_neighbors,3,0.9723491197002107,0.01865397174683771,1.0,V_m
german,kNN,HH,Rashomon,p,3,0.061262418869894454,0.01747403366951073,2.0,V_m
german,kNN,HH,Rashomon,weights,3,0.004871969386707587,0.0034373430616643926,3.0,V_m
german,kNN,HH,Rashomon,n_neighbors,3,0.7647032674073037,0.0857138181336403,1.0,decomposition
german,kNN,HH,Rashomon,p,3,0.2110618427939701,0.04540714809668919,2.0,decomposition
german,kNN,HH,Rashomon,weights,3,0.006497297658849964,0.004102305956103468,3.0,decomposition
compas,kNN,HH,Rashomon,weights,6,0.4872559218623033,0.34918228947734975,1.5,V_m
compas,kNN,HH,Rashomon,weights,6,0.27671981949498275,0.1780786217326763,2.0,decomposition
compas,kNN,all,Rashomon,weights,6,0.6265183780743876,0.27104537035886245,1.5,V_m
compas,kNN,all,Rashomon,weights,6,0.34177973229474684,0.17475499718622567,1.8333333333333333,decomposition
compas,kNN,non_HH,Rashomon,weights,6,0.6405221013726019,0.2601223281661155,1.5,V_m
compas,kNN,non_HH,Rashomon,weights,6,0.3497797126658921,0.1744404381085349,1.8333333333333333,decomposition
german,GBM,HH,full_pool,learning_rate,6,0.2596771797561618,0.09723307660422542,1.0,V_m
german,GBM,HH,full_pool,max_depth,6,0.07944466967689927,0.041397668431309584,2.1666666666666665,V_m
german,GBM,HH,full_pool,n_estimators,6,0.04748431947237052,0.04231131757876077,3.1666666666666665,V_m
german,GBM,HH,full_pool,subsample,6,0.03127055138446903,0.03669236936609197,3.6666666666666665,V_m
german,GBM,HH,full_pool,learning_rate,6,0.4009112282831608,0.14030005114852684,1.3333333333333333,decomposition
german,GBM,HH,full_pool,max_depth,6,0.14684329350530265,0.06584232535198907,2.6666666666666665,decomposition
german,GBM,HH,full_pool,n_estimators,6,0.16444396782550175,0.08848636486854093,2.6666666666666665,decomposition
german,GBM,HH,full_pool,subsample,6,0.09857168475480403,0.08422491870858459,3.3333333333333335,decomposition
german,LogReg,HH,full_pool,C,6,0.8224200268852356,0.08323407827316683,1.0,V_m
german,LogReg,HH,full_pool,l1_ratio,6,0.07367892986880566,0.033595088490860396,2.0,V_m
german,LogReg,HH,full_pool,C,6,0.9703601525989289,0.012793118860932508,1.0,decomposition
german,LogReg,HH,full_pool,l1_ratio,6,0.04647128572119088,0.021713804978800936,2.0,decomposition
german,MLP,HH,full_pool,activation,6,0.004608794402323064,0.004323920156230388,4.0,V_m
german,MLP,HH,full_pool,alpha,6,0.06756507573211647,0.03347075952295247,2.5,V_m
german,MLP,HH,full_pool,hidden_layer_sizes,6,0.07315504781455155,0.056788635230645305,2.3333333333333335,V_m
german,MLP,HH,full_pool,learning_rate_init,6,0.16810921669508927,0.05823004381205662,1.1666666666666667,V_m
german,MLP,HH,full_pool,activation,6,0.031056451014650776,0.009015162765707406,3.3333333333333335,decomposition
german,MLP,HH,full_pool,alpha,6,0.0415296353887182,0.017324692251527718,3.0,decomposition
german,MLP,HH,full_pool,hidden_layer_sizes,6,0.05872496393275243,0.036394350470939245,2.6666666666666665,decomposition
german,MLP,HH,full_pool,learning_rate_init,6,0.4118932329773486,0.07572534181945023,1.0,decomposition
german,RF,HH,full_pool,max_depth,6,0.10336884791313926,0.047957535053395436,2.1666666666666665,V_m
german,RF,HH,full_pool,max_features,6,0.13139595728622772,0.08958418147285863,1.8333333333333333,V_m
german,RF,HH,full_pool,min_samples_leaf,6,0.028801426728001348,0.03136312851497324,4.0,V_m
german,RF,HH,full_pool,min_samples_split,6,0.04362723477041235,0.025827967955983248,3.1666666666666665,V_m
german,RF,HH,full_pool,n_estimators,6,0.0445196918992049,0.04880536286796122,3.8333333333333335,V_m
