dataset,pool_type,subset,family,hp,mean_importance,std_importance,n_seeds,mean_rank,rank_freq_top1,rank_freq_top3
compas,Rashomon,HH,GBM,learning_rate,0.30905824764506173,0.0706464422460359,10,1.3,0.7,1.0
compas,Rashomon,HH,GBM,max_depth,0.24101341026939727,0.05592784499682307,10,2.0,0.2,1.0
compas,Rashomon,HH,GBM,subsample,0.11717776185375031,0.06567407470968042,10,3.3,0.0,0.6
compas,Rashomon,HH,GBM,n_estimators,0.1082712803411728,0.08102124540967351,10,3.4,0.1,0.4
compas,Rashomon,HH,LogReg,C,0.9336254131496944,0.05826326170367734,10,1.0,1.0,1.0
compas,Rashomon,HH,LogReg,l1_ratio,0.10435421976321199,0.036101393428672905,10,2.0,0.0,1.0
compas,Rashomon,HH,MLP,learning_rate_init,0.2642783227661438,0.13610022038078087,10,1.5,0.8,0.9
compas,Rashomon,HH,MLP,hidden_layer_sizes,0.1482193424187107,0.04290164761954759,10,2.5,0.0,1.0
compas,Rashomon,HH,MLP,alpha,0.13974663480865088,0.07577138165650404,10,2.7,0.2,0.7
compas,Rashomon,HH,MLP,activation,0.0894539008144715,0.0589304707054575,10,3.3,0.0,0.4
compas,Rashomon,HH,RF,max_depth,0.59672343807783,0.07305460867891349,10,1.0,1.0,1.0
compas,Rashomon,HH,RF,min_samples_leaf,0.15515611250386352,0.07530023028273321,10,2.8,0.0,0.8
compas,Rashomon,HH,RF,min_samples_split,0.10425954243145046,0.0766676970121027,10,3.3,0.0,0.6
compas,Rashomon,HH,RF,max_features,0.09332248648372071,0.10270698472535185,10,4.0,0.0,0.3
compas,Rashomon,HH,RF,n_estimators,0.06632700997224503,0.046613518362671864,10,3.9,0.0,0.3
compas,Rashomon,HH,kNN,n_neighbors,0.7929005478287294,0.16208965929791452,10,1.0,1.0,1.0
compas,Rashomon,HH,kNN,weights,0.27671981949498275,0.1780786217326763,6,2.0,0.0,1.0
compas,Rashomon,HH,kNN,p,0.028438903304671748,0.013318633383835893,10,2.6,0.0,1.0
compas,Rashomon,all,GBM,learning_rate,0.30565395372155396,0.04513417648865973,10,1.3,0.7,1.0
compas,Rashomon,all,GBM,max_depth,0.24724161292421548,0.030041521303201427,10,1.9,0.2,1.0
compas,Rashomon,all,GBM,n_estimators,0.11766367574836596,0.07778388916690329,10,3.4,0.1,0.4
compas,Rashomon,all,GBM,subsample,0.0905337897223714,0.03825627146563252,10,3.4,0.0,0.6
compas,Rashomon,all,LogReg,C,0.9352619569435081,0.045257814825328396,10,1.0,1.0,1.0
compas,Rashomon,all,LogReg,l1_ratio,0.10830512525814866,0.045264286363200755,10,2.0,0.0,1.0
compas,Rashomon,all,MLP,learning_rate_init,0.2167872627896128,0.09783871370363617,10,1.5,0.7,1.0
compas,Rashomon,all,MLP,hidden_layer_sizes,0.15061164826854645,0.03147239661272663,10,2.1,0.2,1.0
compas,Rashomon,all,MLP,alpha,0.13228857254567153,0.05978383386563271,10,2.9,0.1,0.6
compas,Rashomon,all,MLP,activation,0.08720789190477778,0.041740414019673704,10,3.5,0.0,0.4
compas,Rashomon,all,RF,max_depth,0.6366307202272873,0.0655686752145866,10,1.0,1.0,1.0
compas,Rashomon,all,RF,min_samples_leaf,0.15424797169784998,0.08107354368709813,10,2.8,0.0,0.8
compas,Rashomon,all,RF,min_samples_split,0.0980217054906942,0.07576577680964545,10,3.3,0.0,0.6
compas,Rashomon,all,RF,max_features,0.08871482651451609,0.09742560211367585,10,4.0,0.0,0.3
compas,Rashomon,all,RF,n_estimators,0.06776289888891587,0.04728077930582854,10,3.9,0.0,0.3
compas,Rashomon,all,kNN,n_neighbors,0.7868210067056552,0.17204220464550335,10,1.1,0.9,1.0
compas,Rashomon,all,kNN,weights,0.34177973229474684,0.17475499718622567,6,1.8333333333333333,0.16666666666666666,1.0
compas,Rashomon,all,kNN,p,0.021786719497039298,0.01605014523477091,10,2.6,0.0,1.0
compas,Rashomon,non_HH,GBM,learning_rate,0.3033799181631177,0.04728614773068359,10,1.2,0.8,1.0
compas,Rashomon,non_HH,GBM,max_depth,0.2475160782725549,0.02689091218417852,10,2.0,0.1,1.0
compas,Rashomon,non_HH,GBM,n_estimators,0.12043303218365864,0.07702950275127377,10,3.3,0.1,0.5
compas,Rashomon,non_HH,GBM,subsample,0.08393075139569248,0.036591884955323874,10,3.5,0.0,0.5
compas,Rashomon,non_HH,LogReg,C,0.9344740607196812,0.045386201615924784,10,1.0,1.0,1.0
compas,Rashomon,non_HH,LogReg,l1_ratio,0.10924295938273525,0.04671143074465064,10,2.0,0.0,1.0
compas,Rashomon,non_HH,MLP,learning_rate_init,0.2097916194557591,0.09394200964531645,10,1.6,0.6,1.0
compas,Rashomon,non_HH,MLP,hidden_layer_sizes,0.1510240640263324,0.03134536426085137,10,2.0,0.3,1.0
compas,Rashomon,non_HH,MLP,alpha,0.13130915437884924,0.05971860911509134,10,2.9,0.1,0.6
compas,Rashomon,non_HH,MLP,activation,0.08632601433679267,0.04006460750290417,10,3.5,0.0,0.4
compas,Rashomon,non_HH,RF,max_depth,0.6452593257403283,0.06689570986563435,10,1.0,1.0,1.0
compas,Rashomon,non_HH,RF,min_samples_leaf,0.1545305420373126,0.08250845895156528,10,2.8,0.0,0.8
compas,Rashomon,non_HH,RF,min_samples_split,0.09709324858846095,0.07603513657688911,10,3.3,0.0,0.6
compas,Rashomon,non_HH,RF,max_features,0.08796289837114549,0.09659048630268151,10,4.0,0.0,0.3
compas,Rashomon,non_HH,RF,n_estimators,0.0679990540078435,0.047401599771436397,10,3.9,0.0,0.3
compas,Rashomon,non_HH,kNN,n_neighbors,0.7857450358900032,0.1742245322225376,10,1.1,0.9,1.0
compas,Rashomon,non_HH,kNN,weights,0.3497797126658921,0.1744404381085349,6,1.8333333333333333,0.16666666666666666,1.0
compas,Rashomon,non_HH,kNN,p,0.020963972766783946,0.016916708144104578,10,2.6,0.0,1.0
